what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1296383355018
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1296383355018
java.specification.name,sysinfo,,,"Java Platform API Specification",1296383355018
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1296383355018
java.specification.version,sysinfo,,,"1.6",1296383355018
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1296383355018
java.version,sysinfo,,,"1.6.0_20",1296383355018
java.vm.info,sysinfo,,,"mixed mode, sharing",1296383355018
java.vm.name,sysinfo,,,"OpenJDK Client VM",1296383355018
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1296383355018
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1296383355018
java.vm.specification.version,sysinfo,,,"1.0",1296383355018
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1296383355019
java.vm.version,sysinfo,,,"19.0-b09",1296383355019
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1296383356149
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1296383359781
