what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295900516870
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1295900536425
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295900536447
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295900539108
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295900558473
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295900559091
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1295900564492
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295900566285
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1295900570256
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295900570270
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295900574051
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.ui",1295900578774
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1295900580511
started,bundle,org.eclipse.wst.validation.ui,1.2.204.v201004150700,"org.eclipse.wst.validation.ui",1295900622333
started,bundle,org.eclipse.wst.wsi.ui,1.0.501.v201004201506,"org.eclipse.wst.wsi.ui",1295900622388
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1295900632817
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295900632831
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1295900633959
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1295900634013
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295900634025
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295900643599
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295900646780
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295900672222
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295900697659
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295900699783
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295900720853
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1295900722916
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295900725295
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295900801688
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295900802129
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295900802224
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295900806126
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295900815643
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1295900840466
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1295900857012
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295900862960
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1295900867385
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295900867404
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1295900871014
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1295900872728
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1295900873798
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1295900875270
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1295900877319
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295900888998
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1295901064695
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295901064709
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295901066601
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1295901071635
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1295901075527
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1295901078605
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295901081943
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295901233914
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295901238776
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295901459069
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1295901461095
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295901466957
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1295901516338
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295901518198
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295901520887
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1295901522241
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295901532432
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295901556515
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295901556625
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295901556719
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1295901594554
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1295901614392
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295901621679
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295901633205
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1295901637937
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295901642468
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295901742940
